name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
harish,0,3,6,0,0,ha,sh,har,ish
puneet jain,0,3,11,0,0,pu,in,pun,ain
rashab,0,3,6,0,0,ra,ab,ras,hab
amit kumar shukla,0,3,17,1,1,am,la,ami,kla
praful ag,0,3,9,0,0,pr,ag,pra, ag
tarach,0,3,6,0,0,ta,ch,tar,ach
deepak ra,0,3,9,0,1,de,ra,dee, ra
puran singh rastogi,0,3,19,0,1,pu,gi,pur,ogi
render,0,3,6,0,0,re,er,ren,der
lal babu prasad,0,3,15,0,0,la,ad,lal,sad
ankush,0,3,6,1,0,an,sh,ank,ush
lal,0,3,3,0,0,la,al,lal,lal
kiran pal,0,3,9,0,0,ki,al,kir,pal
ranveer singh,0,3,13,0,0,ra,gh,ran,ngh
anwar,0,3,5,1,0,an,ar,anw,war
sadab urf golu,0,3,14,0,1,sa,lu,sad,olu
gorav,0,3,5,0,0,go,av,gor,rav
laxmikant,0,3,9,0,0,la,nt,lax,ant
rayan parsad bhushal,0,3,20,0,0,ra,al,ray,hal
abbas,0,3,5,1,0,ab,as,abb,bas
avish,0,3,5,1,0,av,sh,avi,ish
ravish,0,3,6,0,0,ra,sh,rav,ish
hukum,0,3,5,0,0,hu,um,huk,kum
pappu,0,3,5,0,1,pa,pu,pap,ppu
akash tomer,0,3,11,1,0,ak,er,aka,mer
mahesh,0,3,6,0,0,ma,sh,mah,esh
rekhai,0,3,6,0,1,re,ai,rek,hai
gajender kumar,0,3,14,0,0,ga,ar,gaj,mar
vashudev,0,3,8,0,0,va,ev,vas,dev
bhanwar singh,0,3,13,0,0,bh,gh,bha,ngh
surender sain,0,3,13,0,0,su,in,sur,ain
akshay kumar,0,3,12,1,0,ak,ar,aks,mar
goldy,0,3,5,0,0,go,dy,gol,ldy
satyender,0,3,9,0,0,sa,er,sat,der
devender,0,3,8,0,0,de,er,dev,der
veer,0,3,4,0,0,ve,er,vee,eer
mohd amir,0,3,9,0,0,mo,ir,moh,mir
babloo,0,3,6,0,1,ba,oo,bab,loo
bhavesh dass,0,3,12,0,0,bh,ss,bha,ass
gourav,0,3,6,0,0,go,av,gou,rav
guddu rai,0,3,9,0,1,gu,ai,gud,rai
yogesh rawat,0,3,12,0,0,yo,at,yog,wat
amarapal,0,3,8,1,0,am,al,ama,pal
rajesh agarwal,0,3,14,0,0,ra,al,raj,wal
tara singh rawat,0,3,16,0,0,ta,at,tar,wat
momin,0,3,5,0,0,mo,in,mom,min
parv kumar,0,3,10,0,0,pa,ar,par,mar
parminder,0,3,9,0,0,pa,er,par,der
ajay haldar,0,3,11,1,0,aj,ar,aja,dar
dharmender,0,3,10,0,0,dh,er,dha,der
gaurav sethi,0,3,12,0,1,ga,hi,gau,thi
suresh,0,3,6,0,0,su,sh,sur,esh
parth madan,0,3,11,0,0,pa,an,par,dan
abhimanyu,0,3,9,1,1,ab,yu,abh,nyu
rohan,0,3,5,0,0,ro,an,roh,han
raju garg,0,3,9,0,0,ra,rg,raj,arg
samir mishra,0,3,12,0,1,sa,ra,sam,hra
ram dayal,0,3,9,0,0,ra,al,ram,yal
kanheya,0,3,7,0,1,ka,ya,kan,eya
mushrraf,0,3,8,0,0,mu,af,mus,raf
pardeep kumar,0,3,13,0,0,pa,ar,par,mar
nithyan,0,3,7,0,0,ni,an,nit,yan
