name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
cecilia,1,2,7,0,1,ce,ia,cec,lia
cammie,1,2,6,0,1,ca,ie,cam,mie
sonya,1,2,5,0,1,so,ya,son,nya
chelsea,1,2,7,0,1,ch,ea,che,sea
maya,1,2,4,0,1,ma,ya,may,aya
rosemarie,1,2,9,0,1,ro,ie,ros,rie
elisa,1,2,5,1,1,el,sa,eli,isa
heidi,1,2,5,0,1,he,di,hei,idi
blakelie,1,2,8,0,1,bl,ie,bla,lie
brian,1,2,5,0,0,br,an,bri,ian
cameron,1,2,7,0,0,ca,on,cam,ron
yivette,1,2,7,0,1,yi,te,yiv,tte
teressa,1,2,7,0,1,te,sa,ter,ssa
cameo,1,2,5,0,1,ca,eo,cam,meo
sherrie,1,2,7,0,1,sh,ie,she,rie
audrey,1,2,6,1,0,au,ey,aud,rey
fawn,1,2,4,0,0,fa,wn,faw,awn
hollie,1,2,6,0,1,ho,ie,hol,lie
rosan,1,2,5,0,0,ro,an,ros,san
carisa,1,2,6,0,1,ca,sa,car,isa
barabara,1,2,8,0,1,ba,ra,bar,ara
darlene,1,2,7,0,1,da,ne,dar,ene
dedi,1,2,4,0,1,de,di,ded,edi
ashely,1,2,6,1,0,as,ly,ash,ely
sophia,1,2,6,0,1,so,ia,sop,hia
faith,1,2,5,0,0,fa,th,fai,ith
joy,1,2,3,0,0,jo,oy,joy,joy
pale,1,2,4,0,1,pa,le,pal,ale
jeanette,1,2,8,0,1,je,te,jea,tte
deidra,1,2,6,0,1,de,ra,dei,dra
frances,1,2,7,0,0,fr,es,fra,ces
jen,1,2,3,0,0,je,en,jen,jen
kaysie,1,2,6,0,1,ka,ie,kay,sie
brianne,1,2,7,0,1,br,ne,bri,nne
jessika,1,2,7,0,1,je,ka,jes,ika
yanet,1,2,5,0,0,ya,et,yan,net
joann,1,2,5,0,0,jo,nn,joa,ann
sherran,1,2,7,0,0,sh,an,she,ran
cheri,1,2,5,0,1,ch,ri,che,eri
traci,1,2,5,0,1,tr,ci,tra,aci
cassie,1,2,6,0,1,ca,ie,cas,sie
berdette,1,2,8,0,1,be,te,ber,tte
jodi,1,2,4,0,1,jo,di,jod,odi
brooke,1,2,6,0,1,br,ke,bro,oke
