name,gender,race,length
doeminique,1,2,10
aneesha,1,2,7
allie,1,2,5
ashlyn,1,2,6
falon,1,2,5
maisa,1,2,5
tressia,1,2,7
breanne,1,2,7
wateka,1,2,6
ayla,1,2,4
tamera,1,2,6
robbie,1,2,6
danita,1,2,6
marika,1,2,6
karlie,1,2,6
maryann,1,2,7
britainy,1,2,8
tamyra,1,2,6
dru,1,2,3
debbra,1,2,6
carroll,1,2,7
hallie,1,2,6
alma,1,2,4
kaitlynn,1,2,8
richen,1,2,6
minnie,1,2,6
bianca,1,2,6
coralynn,1,2,8
sheryle,1,2,7
zuzu,1,2,4
lisbeth,1,2,7
amada,1,2,5
amarilys,1,2,8
dunitze,1,2,7
elai,1,2,4
vivia,1,2,5
shaughnesse,1,2,11
liah,1,2,4
tessa,1,2,5
codi,1,2,4
ursula,1,2,6
elvia,1,2,5
orielle,1,2,7
kiki,1,2,4
abr,1,2,3
penni,1,2,5
gale,1,2,4
zoe,1,2,3
desire,1,2,6
daisey,1,2,6
cathleen,1,2,8
timothy,1,2,7
micha,1,2,5
alesia,1,2,6
marlie,1,2,6
amitra,1,2,6
casie,1,2,5
patty,1,2,5
river,1,2,5
lela,1,2,4
kirsten,1,2,7
emile,1,2,5
chiffon,1,2,7
shari,1,2,5
jackqueline,1,2,11
shara,1,2,5
amby,1,2,4
dysdy,1,2,5
evita,1,2,5
migdalia,1,2,8
camelia,1,2,7
darsi,1,2,5
esther,1,2,6
geri,1,2,4
rosalita,1,2,8
alesha,1,2,6
makayla,1,2,7
freedom,1,2,7
holley,1,2,6
kisha,1,2,5
tera,1,2,4
angie,1,2,5
carleen,1,2,7
marle,1,2,5
starlet,1,2,7
lorri,1,2,5
