name,gender,race
mukesh agarwal,0,3
tahir mohmaddi,0,3
sarvan kumar,0,3
mamta,0,3
vijay bansal,0,3
robin,0,3
lalaram,0,3
ram suresh,0,3
bikki  parveen,0,3
ashutosh seth,0,3
mamchand,0,3
barkat tulla,0,3
manful,0,3
rakesh singh,0,3
rajendar singh,0,3
satbar,0,3
arvind  milla,0,3
bobi khan,0,3
kunal,0,3
ajay gupta,0,3
mohd farman,0,3
salmaan,0,3
arun joshi,0,3
pardeep mohauti,0,3
hararat,0,3
anshul,0,3
ansu kumar,0,3
manish kumar sharma,0,3
kalu,0,3
anjali,0,3
manoj radhe krishan,0,3
kunal mayank,0,3
saroj devi,0,3
birij kisor,0,3
dinesh sharma,0,3
md hasan  sahil,0,3
love manjhi,0,3
rajeev sharma,0,3
jai prakash,0,3
omprakash,0,3
taushif,0,3
naresh naneha,0,3
leo paul,0,3
farid khan,0,3
md ramjani,0,3
rahish ahmad,0,3
deshraj,0,3
shibu,0,3
mukesh aarya,0,3
shamim,0,3
birender sharma,0,3
vijay sharma,0,3
amarjeet singh,0,3
aryan shrma,0,3
mohd salman,0,3
radhey shyam,0,3
mahesh pal,0,3
irshad,0,3
pintu,0,3
dheeraj meena,0,3
hari  abhishek,0,3
unkar meena,0,3
vikram singh rajpoot,0,3
girish chandra,0,3
pankaj dhiman,0,3
ramesh upreti,0,3
vipta,0,3
sudhir mandal,0,3
bhupesh sharma,0,3
rajesh  chotu,0,3
munesh sharma,0,3
gopi singh,0,3
aadil,0,3
fulmiya,0,3
chander prakash,0,3
balram,0,3
shib lal singh,0,3
shayam lal,0,3
vinay binu,0,3
bangali babu,0,3
chander prakash  banta,0,3
manish goyal,0,3
nanhe khan,0,3
hazrat ali,0,3
sudhansu,0,3
raseel,0,3
kushal sharma,0,3
mr. mohammad  sahed,0,3
lalit  golu,0,3
bijendra kumar,0,3
bhagwan dass,0,3
bhajanlal,0,3
chran singh,0,3
hariom,0,3
aashu,0,3
azam,0,3
bharma,0,3
rashid hussain,0,3
gyanendra,0,3
shivam jain,0,3
javed,0,3
inder kumar,0,3
suman mali  sumit,0,3
gulreg,0,3
jahagir khan,0,3
sumer,0,3
udaiveer,0,3
ravindera tiwari,0,3
sabbir alam,0,3
shahid alam,0,3
mr. narender mali,0,3
deva ram,0,3
amit garg  aamin jon,0,3
santosh kumar,0,3
satpal singh,0,3
sant mishra,0,3
salim,0,3
gaurav chhabra,0,3
manpreet singh,0,3
harak khatri,0,3
hari mohan gurjar,0,3
