name,gender,race,length
leordo t,0,1,8
marcos c,0,1,8
paul,0,1,4
paul jr,0,1,7
paul r,0,1,6
primitivo r,0,1,11
rodolfo a,0,1,9
alberto j,0,1,9
jesse a,0,1,7
heuller,0,1,7
jesus c,0,1,7
adrian a,0,1,8
antonio a,0,1,9
berrdo,0,1,6
bo j,0,1,4
roberto p,0,1,9
darlin o,0,1,8
justo a,0,1,7
deive l,0,1,7
renier,0,1,6
estuardo m,0,1,10
oscar d,0,1,7
kevin m,0,1,7
pablo iii,0,1,9
david a,0,1,7
feliz j,0,1,7
geraldo,0,1,7
yadiel n,0,1,8
roberto c,0,1,9
edward r,0,1,8
charles r,0,1,9
daniel j,0,1,8
ricky r,0,1,7
martin d,0,1,8
davey l,0,1,7
kevin d,0,1,7
arturo jr,0,1,9
adal a,0,1,6
rafael c,0,1,8
javier i iii,0,1,12
adolfo a,0,1,8
igcio p,0,1,7
julio i,0,1,7
jaime m,0,1,7
julio m,0,1,7
bryan,0,1,5
deshawn a,0,1,9
alfredo o,0,1,9
anthony v,0,1,9
david v,0,1,7
edwin j iii,0,1,11
harry a,0,1,7
valentin d,0,1,10
victor j,0,1,8
rigoberto j,0,1,11
ykin,0,1,4
marco,0,1,5
alexis a,0,1,8
diego o,0,1,7
ixio,0,1,4
jacob m,0,1,7
johthan e,0,1,9
jose r jr,0,1,9
mauricio,0,1,8
eric a,0,1,6
omar j,0,1,6
alberto v,0,1,9
jaime c,0,1,7
carlos c,0,1,8
cecilio,0,1,7
martin o,0,1,8
christopher a,0,1,13
jeorge n,0,1,8
mark v,0,1,6
moises f,0,1,8
david r,0,1,7
adam s,0,1,6
ivan s,0,1,6
fidencio,0,1,8
jairo a,0,1,7
refugio z,0,1,9
joaquin,0,1,7
rey h,0,1,5
angel d,0,1,7
carlos i,0,1,8
elemelec,0,1,8
elesio,0,1,6
epifanio,0,1,8
felix g,0,1,7
george o jr,0,1,11
henry,0,1,5
jaime o,0,1,7
jaymie,0,1,6
jeovany t,0,1,9
nicholas d,0,1,10
pascual,0,1,7
ramon a jr,0,1,10
marvin o,0,1,8
xavier,0,1,6
marcial,0,1,7
rufino,0,1,6
guadalupe,0,1,9
julian,0,1,6
rivera,0,1,6
edwin d,0,1,7
harry p,0,1,7
noel,0,1,4
teodoro,0,1,7
khalil e,0,1,8
james,0,1,5
josue e,0,1,7
wilmer o,0,1,8
freddy i,0,1,8
jeff,0,1,4
fabian r,0,1,8
geovanny,0,1,8
antonio i,0,1,9
ricardo i,0,1,9
darwin f,0,1,8
